,0
K4Q23,0.13155671079060438
K2Q34A,0.10870039354520311
MEMORYCOND,0.10198952969904496
TOTCSHCN,0.08264645629615508
SC_K2Q22,0.0810240362069874
SC_K2Q13,0.07250861776620687
K2Q30A,0.058101047715184206
K7Q84_R,0.054293244392344064
K4Q22_R,0.05251938352909158
K8Q31,0.050958064309912565
K2Q34C,0.04528109770130473
K7Q85_R,0.044617844146440655
K2Q33A,0.04394884530378729
K7Q82_R,0.043540657339812494
K7Q04R_R,0.04295157151497553
MAKEFRIEND,0.04194791944038356
K8Q32,0.03372200965339811
SC_K2Q16,0.0321153216864587
K2Q36A,0.031670586718623106
K2Q30C,0.029562648865185226
K7Q70_R,0.029477834978661077
BULLIED_R,0.027212402098381272
K2Q32A,0.02577544477253868
ACE11,0.022739886214045546
K2Q33C,0.02221875410535956
K2Q35A,0.02074427886657726
BULLY,0.018568260755435384
K2Q01,0.015764007719262674
GENETIC,0.015719184257817043
K8Q21,0.015133558353999321
K2Q32C,0.01484307689607478
K6Q71_R,0.013890658854889049
K2Q35C,0.013758603983575757
K8Q34,0.013382048250730305
K2Q37A,0.012614468135975887
ACE1,0.012528723096219219
HOSPITALER,0.012377645710114571
K2Q60A,0.012104055139092518
K2Q34B,0.011646982714005327
ACE6,0.011641667209019824
ACE7,0.011512553313887564
A2_MENTHEALTH,0.011460725420894047
SC_SEX,0.011419962457597688
K2Q36C,0.011093804763565362
S4Q01,0.010300326390510373
TOTFEMALE,0.009567919163438576
ACE8,0.009290932517167283
K2Q42A,0.009081628880821535
BEDTIME,0.009078491474179717
K11Q61,0.008959567703831883
ACE4,0.008908081970384396
K2Q38C,0.008700442972658484
ACE9,0.008589107177629618
GENETIC_DESC,0.00817871890029731
K7Q02R_R,0.008170510391954933
HIGRADE_TVIS,0.008089437879681194
K8Q30,0.008001048609349581
K7Q30,0.007888645405697225
A1_SEX,0.007736989507999725
A1_MENTHEALTH,0.007500180960892999
FWC,0.007176452435082803
ACE3,0.007168312606406824
K2Q37C,0.00715941568599443
FAMILY_R,0.007056899467915656
K7Q38,0.007037910403752123
WALKSTAIRS,0.006883165876351516
CYSTFIB_DESC,0.006834858321754567
K2Q40A,0.006832262722482607
K8Q35,0.006718047902234847
K10Q12,0.00671430494303471
A2_PHYSHEALTH,0.006592611684440142
HEADACHE_DESC,0.006519235218530595
SC_RACE_R,0.006487992404339948
HEART,0.006435725180398588
K7Q32,0.006320089533395246
DRESSING,0.006209419122780613
K2Q43B,0.006157220598193236
K10Q23,0.006047338094843813
ACE12,0.005969707760903553
K7Q33,0.005910179805444837
K2Q42C,0.005598740854389828
MPC_YN,0.005345552218791516
K10Q40_R,0.005317338233093771
BLINDNESS,0.0051020813060038694
CYSTFIB,0.005035355253299789
MOMAGE,0.004945483438030696
K7Q31,0.004839963607897069
FPL_I4,0.004725097829854752
A2_AGE,0.004570371856932098
SC_AGE_YEARS,0.004387968551942123
BLOOD,0.004379409386305211
K2Q40C,0.004312429797216577
TENURE,0.00430988875524041
HEADACHE,0.0043086134837415635
FPL_I1,0.004275576924848368
K2Q38A,0.004260426643971638
K7Q37,0.00411869626475192
FAMCOUNT,0.004066188436345319
HOURSLEEP,0.003944833502550482
ACE5,0.003932417317701331
DOWNSYN,0.003921613879524388
ACE10,0.003911996037546439
FOODSIT,0.0038987421794802746
TOTAGE_6_11,0.003855097378996808
A1_AGE,0.0037634457875912464
K10Q11,0.0036244046024935805
K2Q60C,0.003522014658244199
A2_GRADE,0.0034770508043648896
K10Q14,0.003339585516662913
SC_K2Q17,0.0032686502224701375
ISSUECOST,0.003197023464135418
TOTAGE_12_17,0.0030484114544020446
VISIONEXAMREC,0.002787739409114698
EYEDOCTOR,0.002767794417165348
SCREENTIME,0.002744605008026868
K10Q20,0.0026443772399502574
PHYSACTIV,0.002592150880159183
A2_SEX,0.0025821789337270307
A1_PHYSHEALTH,0.0024554306617299293
FPL_I3,0.0023786561135721307
BIRTHWT_OZ_S,0.002351070213946427
K8Q11,0.0023463773727523396
OVERWEIGHT,0.002321077321834286
K4Q30_R_3,0.002278573604029388
ALLERGIES_DESC,0.0022183329938241236
HHCOUNT,0.0021166743470466542
K2Q41A,0.0020671670543193077
AGEPOS4,0.0019290187929394964
K2Q05,0.0007661970280883335
HEART_DESC,0.0007010689672504178
TOTMALE,0.0005090932709781448
K10Q13,0.0005060086683064124
K10Q31,0.0004994318635036521
FPL_I5,0.0002636331153775817
A1_EMPLOYED,0.0
A1_GRADE,0.0
FPL_I6,0.0
A2_EMPLOYED,0.0
TOTKIDS_R,0.0
TOTAGE_0_5,0.0
CONCUSSION,0.0
FPL_I2,0.0
